DOBEC	OBEC	OKRES	PSC	DPOSTA	POSTA	KOD_OKR	KRAJ	
Liptovská Sielnica	Liptovská Sielnica	Liptovský Mikuláš	032 23	Liptovská Sielnica	Liptovská Sielnica	505	ZI	
Liptovská Štiavnica	Liptovská Štiavnica	Ružomberok	034 01	Ružomberok 1	Ružomberok 1	508	ZI	
Liptovská Teplá	Liptovská Teplá	Ružomberok	034 83	Liptovská Teplá	Liptovská Teplá	508	ZI	
Liptovská Teplička	Liptovská Teplička	Poprad	059 40	Liptovská Teplička	Liptovská Teplička	706	PV	
Liptovské Beharovce	Liptovské Beharovce	Liptovský Mikuláš	032 21	Bobrovec	Bobrovec	505	ZI	
Liptovské Kľačany	Liptovské Kľačany	Liptovský Mikuláš	032 14	Ľubeľa	Ľubeľa	505	ZI	
Liptovské Matiašovce	Liptovské Matiašovce	Liptovský Mikuláš	032 23	Liptovská Sielnica	Liptovská Sielnica	505	ZI	
Liptovské Revúce	Liptovské Revúce	Ružomberok	034 74	Liptovské Revúce	Liptovské Revúce	508	ZI	
Liptovské Sliače	Liptovské Sliače	Ružomberok	034 84	Liptovské Sliače	Liptovské Sliače	508	ZI	
Liptovský Hrádok	Liptovský Hrádok	Liptovský Mikuláš	033 01	Liptovský Hrádok 1	Liptovský Hrádok 1	505	ZI	
Liptovský Ján	Liptovský Ján	Liptovský Mikuláš	032 03	Liptovský Ján	Liptovský Ján	505	ZI	
Liptovský Michal	Liptovský Michal	Ružomberok	034 83	Liptovská Teplá	Liptovská Teplá	508	ZI	
Liptovský Mikuláš	Liptovský Mikuláš	Liptovský Mikuláš			Pozri zoz.ulíc s PSČ	505	ZI	
Liptovský Ondrej	Liptovský Ondrej	Liptovský Mikuláš	032 04	Liptovský Ondrej	Liptovský Ondrej	505	ZI	
Liptovský Peter	Liptovský Peter	Liptovský Mikuláš	033 01	Liptovský Hrádok 1	Liptovský Hrádok 1	505	ZI	
Liptovský Trnovec	Liptovský Trnovec	Liptovský Mikuláš	031 01	Liptovský Mikuláš 1	Liptovský Mikuláš 1	505	ZI	
Lisková	Lisková	Ružomberok	034 81	Lisková	Lisková	508	ZI	
Lišov	Lišov	Krupina	962 71	Dudince	Dudince	605	BC	
Litava	Litava	Krupina	962 44	Litava na Slovensku	Litava na Slovensku	605	BC	
Litmanová	Litmanová	Stará Ľubovňa	065 31	Jarabina	Jarabina	710	PV	
Livina	Livina	Partizánske	956 32	Nadlice	Nadlice	305	TC	
Livinské Opatovce	Livinské Opatovce	Partizánske	956 32	Nadlice	Nadlice	305	TC	
Livov	Livov	Bardejov	086 05	Lukov pri Bardejove	Lukov pri Bardejove	701	PV	
Livovská Huta	Livovská Huta	Bardejov	086 05	Lukov pri Bardejove	Lukov pri Bardejove	701	PV	
Lodno	Lodno	Kysucké Nové Mesto	023 34	Kysucký Lieskovec	Kysucký Lieskovec	504	ZI	
Lok	Lok	Levice	935 38	Lok	Lok	402	NI	
Lokca	Lokca	Námestovo	029 51	Lokca	Lokca	507	ZI	
Lom nad Rimavicou	Lom nad Rimavicou	Brezno	976 53	Lom nad Rimavicou	Lom nad Rimavicou	603	BC	
Lomná	Lomná	Námestovo	029 54	Krušetnica	Krušetnica	507	ZI	
Lomné	Lomné	Stropkov	090 33	Turany nad Ondavou	Turany nad Ondavou	711	PV	
Lomnica	Lomnica	Prievidza	972 27	Liešťany	Liešťany	307	TC	
Lomnička	Lomnička	Stará Ľubovňa	065 03	Podolínec	Podolínec	710	PV	
Lonec	Lonec	Zvolen	962 63	Pliešovce 1	Pliešovce 1	611	BC	
Lontov	Lontov	Levice	935 75	Ipeľský Sokolec	Ipeľský Sokolec	402	NI	
Lopašov	Lopašov	Skalica	908 63	Radošovce	Radošovce	206	TA	
Lopej	Lopej	Brezno	976 98	Lopej	Lopej	603	BC	
Lopúchov	Lopúchov	Bardejov	086 41	Raslavice	Raslavice	701	PV	
Lopušná	Lopušná	Kysucké Nové Mesto	023 36	Radoľa	Radoľa	504	ZI	
Lopušné Pažite - Lopušná	Lopuš.Pažite-Lopušná	Kysucké Nové Mesto	023 36	Radoľa	Radoľa	504	ZI	
Lopušné Pažite - Pažite	Lopuš.Pažite-Pažite	Kysucké Nové Mesto	023 36	Radoľa	Radoľa	504	ZI	
Lošonec	Lošonec	Trnava	919 04	Smolenice	Smolenice	207	TA	
Lovce	Lovce	Zlaté Moravce	951 92	Lovce	Lovce	407	NI	
Lovča	Lovča	Žiar nad Hronom	966 21	Lovča	Lovča	613	BC	
Lovčica	Lovčica	Žiar nad Hronom	966 23	Lovčica-Trubín	Lovčica-Trubín	613	BC	
Lovčica - Trubín	Lovčica - Trubín	Žiar nad Hronom	966 23	Lovčica-Trubín	Lovčica-Trubín	613	BC	
Lovinobaňa	Lovinobaňa	Lučenec	985 54	Lovinobaňa	Lovinobaňa	606	BC	
Lozorno	Lozorno	Malacky	900 55	Lozorno	Lozorno	106	BL	
Ložín	Ložín	Michalovce	072 05	Bracovce	Bracovce	807	KI	
Ľubá	Ľubá	Nové Zámky	943 53	Ľubá	Ľubá	404	NI	
Ľubeľa	Ľubeľa	Liptovský Mikuláš	032 14	Ľubeľa	Ľubeľa	505	ZI	
Lubeník	Lubeník	Revúca	049 18	Lubeník	Lubeník	608	BC	
Ľubianka	Ľubianka	Prievidza	972 47	Oslany	Oslany	307	TC	
Ľubica	Ľubica	Kežmarok	059 71	Ľubica	Ľubica	703	PV	
Ľubienka	Ľubienka	Poltár	985 07	Šoltýska	Šoltýska	607	BC	
Ľubietová	Ľubietová	Banská Bystrica	976 55	Ľubietová	Ľubietová	601	BC	
Lubina	Lubina	Nové Mesto n.Váhom	916 12	Lubina	Lubina	304	TC	
Ľubiša	Ľubiša	Humenné	067 11	Ľubiša	Ľubiša	702	PV	
Ľubochňa	Ľubochňa	Ružomberok	034 91	Ľubochňa	Ľubochňa	508	ZI	
Ľuborča	Ľuborča	Trenčín	914 41	Nemšová	Nemšová	309	TC	
Ľuboreč	Ľuboreč	Lučenec	985 11	Halič	Halič	606	BC	
Ľuboriečka	Ľuboriečka	Veľký Krtíš	991 02	Dolná Strehová	Dolná Strehová	610	BC	
Ľubotice	Ľubotice	Prešov	080 06	Prešov 6	Prešov 6	707	PV	
Ľubotín	Ľubotín	Stará Ľubovňa	065 41	Ľubotín	Ľubotín	710	PV	
Ľubovec	Ľubovec	Prešov	082 42	Bzenov	Bzenov	707	PV	
Lúč na Ostrove	Lúč na Ostrove	Dunajská Streda	930 03	Kráľovičove Kračany	Kráľovičove Kračany	201	TA	
Lučatín	Lučatín	Banská Bystrica	976 61	Lučatín	Lučatín	601	BC	
Lučenec	Lučenec	Lučenec			Pozri zoz.ulíc s PSČ	606	BC	
Lúčina	Lúčina	Prešov	082 07	Tuhrina	Tuhrina	707	PV	
Lučivná	Lučivná	Poprad	059 31	Lučivná 1	Lučivná 1	706	PV	
Lúčka	Lúčka	Rožňava	049 42	Drnava	Drnava	808	KI	
Lúčka	Lúčka	Svidník	087 01	Giraltovce	Giraltovce	712	PV	
Lúčka	Lúčka	Levoča	053 03	Jablonov pri Levoči	Jablonov pri Levoči	704	PV	
Lúčka	Lúčka	Sabinov	082 71	Lipany nad Torysou	Lipany nad Torysou	708	PV	
Lučkovce	Lučkovce	Michalovce	072 03	Rakovec nad Ondavou	Rakovec nad Ondavou	807	KI	
Lúčky	Lúčky	Žiar nad Hronom	967 01	Kremnica 1	Kremnica 1	613	BC	
Lúčky	Lúčky	Ružomberok	034 82	Lúčky pri Ružomberku	Lúčky pri Ružomberku	508	ZI	
Lúčky	Lúčky	Michalovce	072 34	Zalužice	Zalužice	807	KI	
Lúčky - kúpele	Lúčky - kúpele	Ružomberok	034 82	Lúčky pri Ružomberku	Lúčky pri Ružomberku	508	ZI	
Lúčnica nad Žitavou	Lúčnica nad Žitavou	Nitra	951 88	Lúčnica nad Žitavou	Lúčnica nad Žitavou	403	NI	
Ludanice	Ludanice	Topoľčany	956 11	Ludanice	Ludanice	406	NI	
Ľudovítov	Ľudovítov	Nové Zámky	941 11	Palárikovo	Palárikovo	404	NI	
Ľudovítová	Ľudovítová	Nitra	951 44	Výčapy-Opatovce	Výčapy-Opatovce	403	NI	
Ludrová	Ludrová	Ružomberok	034 71	Ludrová	Ludrová	508	ZI	
Ľudvikov dvor	Ľudvikov dvor	Košice-okolie	040 15	Košice 15	Košice 15	806	KI	
Luhyňa	Luhyňa	Trebišov	076 14	Michaľany pri Trebišove	Michaľany pri Treb.	811	KI	
Lúka	Lúka	Nové Mesto n.Váhom	916 33	Hrádok nad Váhom	Hrádok nad Váhom	304	TC	
Lukačovce	Lukačovce	Humenné	067 24	Lukačovce pri Humennom	Lukačovce pri Humen.	702	PV	
Lukáčovce	Lukáčovce	Nitra	951 23	Lukáčovce pri Nitre	Lukáčovce pri Nitre	403	NI	
Lukavica	Lukavica	Bardejov	086 21	Lukavica pri Bardejove	Lukavica pri Bardej.	701	PV	
Lukavica	Lukavica	Zvolen	962 31	Sliač	Sliač	611	BC	
Lukavica	Lukavica	Žarnovica	966 81	Žarnovica	Žarnovica	612	BC	
Lukov	Lukov	Bardejov	086 05	Lukov pri Bardejove	Lukov pri Bardejove	701	PV	
Lukové	Lukové	Zvolen	962 21	Lieskovec	Lieskovec	611	BC	
Lukovištia	Lukovištia	Rimavská Sobota	980 26	Lukovištia	Lukovištia	609	BC	
Lúky	Lúky	Žilina	013 31	Divina	Divina	511	ZI	
Lúky	Lúky	Púchov	020 53	Lúky	Lúky	308	TC	
Lúky	Lúky	Komárno	946 14	Zemianska Olča	Zemianska Olča	401	NI	
Lula	Lula	Levice	935 35	Tehla	Tehla	402	NI	
Lupoč	Lupoč	Lučenec	985 11	Halič	Halič	606	BC	
Luskovica	Luskovica	Myjava	916 16	Krajné	Krajné	303	TC	
Lutila	Lutila	Žiar nad Hronom	966 22	Lutila	Lutila	613	BC	
Ľutina	Ľutina	Sabinov	082 57	Ľutina	Ľutina	708	PV	
Lutiše	Lutiše	Žilina	013 05	Belá pri Varíne	Belá pri Varíne	511	ZI	
Ľutov	Ľutov	Bánovce nad Bebravou	957 03	Bánovce nad Bebravou 1	Bánovce nad Beb. 1	301	TC	
Lužany	Lužany	Topoľčany	956 07	Veľké Ripňany	Veľké Ripňany	406	NI	
Lužany pri Topli	Lužany pri Topli	Svidník	087 01	Giraltovce	Giraltovce	712	PV	
Lužianky	Lužianky	Nitra	951 41	Lužianky	Lužianky	403	NI	
Lysá nad Dunajcom	Lysá nad Dunajcom	Kežmarok	061 01	Spišská Stará Ves	Spišská Stará Ves	703	PV	
Lysá pod Makytou	Lysá pod Makytou	Púchov	020 54	Lysá pod Makytou	Lysá pod Makytou	308	TC	
Lysica	Lysica	Žilina	013 05	Belá pri Varíne	Belá pri Varíne	511	ZI	
Macov	Macov	Dunajská Streda	930 32	Blatná na Ostrove	Blatná na Ostrove	201	TA	
Mačonáš	Mačonáš	Galanta	925 41	Kráľov Brod	Kráľov Brod	202	TA	
Mačov	Mačov	Prievidza	972 25	Diviaky nad Nitricou	Diviaky nad Nitricou	307	TC	
Mad	Mad	Dunajská Streda	930 14	Dolný Bar	Dolný Bar	201	TA	
Madačka	Madačka	Lučenec	985 13	Ábelová	Ábelová	606	BC	
Madérét	Madérét	Komárno	930 28	Okoč	Okoč	401	NI	
Madočany	Madočany	Ružomberok	034 83	Liptovská Teplá	Liptovská Teplá	508	ZI	
Madunice	Madunice	Hlohovec	922 42	Madunice	Madunice	203	TA	
Madzín	Madzín	Bytča	013 62	Veľké Rovné	Veľké Rovné	501	ZI	
Magnezitovce	Magnezitovce	Revúca	049 16	Jelšava	Jelšava	608	BC	
Magurka	Magurka	Liptovský Mikuláš	032 15	Partizánska Ľupča	Partizánska Ľupča	505	ZI	
Machalovce	Machalovce	Poprad	059 13	Jánovce pri Poprade	Jánovce pri Poprade	706	PV	
Machulince	Machulince	Zlaté Moravce	951 93	Topoľčianky	Topoľčianky	407	NI	
Majcichov	Majcichov	Trnava	919 22	Majcichov	Majcichov	207	TA	
Majdan	Majdan	Sabinov	082 57	Ľutina	Ľutina	708	PV	
Majer	Majer	Banská Bystrica	974 01	Banská Bystrica 1	Banská Bystrica 1	601	BC	
Majer	Majer	Vranov nad Topľou	094 31	Hanušovce nad Topľou	Hanušovce nad Topľou	713	PV	
Majere	Majere	Levice	935 05	Pukanec	Pukanec	402	NI	
Majere	Majere	Kežmarok	061 01	Spišská Stará Ves	Spišská Stará Ves	703	PV	
Majeríčky	Majeríčky	Senica	906 05	Sobotište	Sobotište	205	TA	
Majerka	Majerka	Kežmarok	059 94	Holumnica	Holumnica	703	PV	
Majerovce	Majerovce	Vranov nad Topľou	094 09	Sedliská	Sedliská	713	PV	
Makov	Makov	Čadca	023 56	Makov na Slovensku	Makov na Slovensku	502	ZI	
Makovce	Makovce	Stropkov	090 23	Havaj	Havaj	711	PV	
Malá Bara	Malá Bara	Trebišov	076 32	Borša	Borša	811	KI	
Malá Baračka	Malá Baračka	Levice	935 36	Beša	Beša	402	NI	
Malá Budafa	Malá Budafa	Dunajská Streda	930 34	Holice na Ostrove	Holice na Ostrove	201	TA	
Malá Bytča	Malá Bytča	Bytča	014 01	Bytča 1	Bytča 1	501	ZI	
Malá Čalomija	Malá Čalomija	Veľký Krtíš	991 08	Lesenice	Lesenice	610	BC	
Malá Čausa	Malá Čausa	Prievidza	971 01	Prievidza 1	Prievidza 1	307	TC	
Malá Čierna	Malá Čierna	Žilina	015 01	Rajec nad Rajčiankou	Rajec nad Rajčiankou	511	ZI	
Malá Dolina	Malá Dolina	Lučenec	985 53	Mýtna	Mýtna	606	BC	
Malá Domaša	Malá Domaša	Vranov nad Topľou	094 02	Slovenská Kajňa	Slovenská Kajňa	713	PV	
Malá Franková	Malá Franková	Kežmarok	059 78	Veľká Franková	Veľká Franková	703	PV	
Malá Hradná	Malá Hradná	Bánovce nad Bebravou	956 54	Veľké Držkovce	Veľké Držkovce	301	TC	
Malá Ida	Malá Ida	Košice-okolie	044 20	Malá Ida	Malá Ida	806	KI	
Malá Iža	Malá Iža	Komárno	945 01	Komárno 1	Komárno 1	401	NI	
Malá Lehota	Malá Lehota	Prievidza	972 42	Lehota pod Vtáčnikom	Lehota pod Vtáčnikom	307	TC	
Malá Lehota	Malá Lehota	Žarnovica	966 42	Malá Lehota pri Novej Bani	M.Lehota pri N.Bani	612	BC	
Malá Lodina	Malá Lodina	Košice-okolie	044 32	Veľká Lodina	Veľká Lodina	806	KI	
Malá Lúč	Malá Lúč	Dunajská Streda	930 03	Kráľovičove Kračany	Kráľovičove Kračany	201	TA	
Malá Mača	Malá Mača	Galanta	925 21	Sládkovičovo	Sládkovičovo	202	TA	
Malá Maňa	Malá Maňa	Nové Zámky	941 45	Maňa	Maňa	404	NI	
Malá Mužla	Malá Mužla	Nové Zámky	943 52	Mužla	Mužla	404	NI	
Malá nad Hronom	Malá nad Hronom	Nové Zámky	943 65	Kamenica nad Hronom	Kamenica nad Hronom	404	NI	
Malá Paka	Malá Paka	Dunajská Streda	930 51	Veľká Paka	Veľká Paka	201	TA	
Malá Poľana	Malá Poľana	Stropkov	090 24	Miková	Miková	711	PV	
Malá Tŕňa	Malá Tŕňa	Trebišov	076 82	Veľká Tŕňa	Veľká Tŕňa	811	KI	
Malá Ves	Malá Ves	Lučenec	984 01	Lučenec 1	Lučenec 1	606	BC	
Malá Vieska	Malá Vieska	Košice-okolie	044 31	Družstevná pri Hornáde	Družstevná pri Horn.	806	KI	
Malacky	Malacky	Malacky	901 01	Malacky	Malacky	106	BL	
Malachov	Malachov	Banská Bystrica	974 05	Banská Bystrica 5	Banská Bystrica 5	601	BC	
Málaš	Málaš	Levice	935 67	Málaš	Málaš	402	NI	
Malatiná	Malatiná	Dolný Kubín	026 01	Dolný Kubín 1	Dolný Kubín 1	503	ZI	
Malatíny	Malatíny	Liptovský Mikuláš	032 15	Partizánska Ľupča	Partizánska Ľupča	505	ZI	
Malcov	Malcov	Bardejov	086 06	Malcov	Malcov	701	PV	
Malčice	Malčice	Michalovce	072 06	Malčice	Malčice	807	KI	
Malé Bedzany	Malé Bedzany	Topoľčany	955 01	Topoľčany 1	Topoľčany 1	406	NI	
Malé Bielice	Malé Bielice	Partizánske	958 04	Partizánske 1	Partizánske 1	305	TC	
Malé Bierovce	Malé Bierovce	Trenčín	913 05	Melčice-Lieskové	Melčice-Lieskové	309	TC	
Malé Blahovo	Malé Blahovo	Dunajská Streda	929 01	Dunajská Streda 1	Dunajská Streda 1	201	TA	
Malé Borové	Malé Borové	Liptovský Mikuláš	027 32	Zuberec	Zuberec	505	ZI	
Malé Dvorany	Malé Dvorany	Topoľčany	956 01	Bojná	Bojná	406	NI	
Malé Dvorníky	Malé Dvorníky	Dunajská Streda	929 01	Dunajská Streda 1	Dunajská Streda 1	201	TA	
Malé Hoste	Malé Hoste	Bánovce nad Bebravou	956 37	Zlatníky pri Bánovciach nad Bebravou	Zlatníky pri Bánov.	301	TC	
Malé Chlievany	Malé Chlievany	Bánovce nad Bebravou	957 01	Bánovce nad Bebravou 1	Bánovce nad Beb. 1	301	TC	
Malé Chyndice	Malé Chyndice	Nitra	951 54	Malé Chyndice	Malé Chyndice	403	NI	
Malé Kosihy	Malé Kosihy	Nové Zámky	943 61	Salka	Salka	404	NI	
Malé Košecké Podhradie	Malé Košec.Podhradie	Ilava	018 31	Košecké Podhradie	Košecké Podhradie	302	TC	
Malé Kozmálovce	Malé Kozmálovce	Levice	935 21	Tlmače 1	Tlmače 1	402	NI	
Malé Krškany	Malé Krškany	Levice	934 01	Levice 1	Levice 1	402	NI	
Malé Kršteňany	Malé Kršteňany	Partizánske	958 03	Partizánske 1	Partizánske 1	305	TC	
Malé Lednice	Malé Lednice	Považská Bystrica	018 16	Domaniža	Domaniža	306	TC	
Malé Leváre	Malé Leváre	Malacky	908 74	Malé Leváre	Malé Leváre	106	BL	
Malé Ludince	Malé Ludince	Levice	937 01	Želiezovce	Želiezovce	402	NI	
Malé Orvište	Malé Orvište	Piešťany	922 01	Ostrov pri Piešťanoch	Ostrov pri Piešťan.	204	TA	
Malé Ostratice	Malé Ostratice	Partizánske	956 34	Ostratice	Ostratice	305	TC	
Malé Ozorovce	Malé Ozorovce	Trebišov	078 01	Sečovce	Sečovce	811	KI	
Malé Raškovce	Malé Raškovce	Michalovce	072 17	Zemplínske Kopčany	Zemplínske Kopčany	807	KI	
Malé Ripňany	Malé Ripňany	Topoľčany	956 07	Veľké Ripňany	Veľké Ripňany	406	NI	
Malé Stankovce	Malé Stankovce	Trenčín	913 11	Trenčianske Stankovce	Trenč.Stankovce	309	TC	
Malé Straciny	Malé Straciny	Veľký Krtíš	990 01	Veľký Krtíš	Veľký Krtíš	610	BC	
Malé Teriakovce	Malé Teriakovce	Rimavská Sobota	980 51	Veľké Teriakovce	Veľké Teriakovce	609	BC	
Malé Trakany	Malé Trakany	Trebišov	076 42	Veľké Trakany	Veľké Trakany	811	KI	
Malé Uherce	Malé Uherce	Partizánske	958 03	Partizánske 1	Partizánske 1	305	TC	
Malé Vozokany	Malé Vozokany	Zlaté Moravce	951 82	Malé Vozokany	Malé Vozokany	407	NI	
Malé Zalužice	Malé Zalužice	Michalovce	072 34	Zalužice	Zalužice	807	KI	
Malé Zálužie	Malé Zálužie	Nitra	951 24	Nové Sady pri Nitre	Nové Sady pri Nitre	403	NI	
Malé Zlievce	Malé Zlievce	Veľký Krtíš	991 22	Bušince	Bušince	610	BC	
Málinec	Málinec	Poltár	985 26	Málinec	Málinec	607	BC	
Malinová	Malinová	Prievidza	972 13	Nitrianske Pravno	Nitrianske Pravno	307	TC	
Malinovec	Malinovec	Levice	935 87	Santovka	Santovka	402	NI	
Malinovo	Malinovo	Senec	900 45	Malinovo	Malinovo	108	BL	
Malinô Brdo	Malinô Brdo	Ružomberok	034 01	Ružomberok 1	Ružomberok 1	508	ZI	
Malužiná	Malužiná	Liptovský Mikuláš	032 34	Malužiná	Malužiná	505	ZI	
Malý Báb	Malý Báb	Nitra	951 34	Báb	Báb	403	NI	
Malý Biel	Malý Biel	Senec	900 24	Veľký Biel	Veľký Biel	108	BL	
Malý Bysterec	Malý Bysterec	Dolný Kubín	026 01	Dolný Kubín 1	Dolný Kubín 1	503	ZI	
Malý Cetín	Malý Cetín	Nitra	951 07	Čechynce	Čechynce	403	NI	
Malý Čepčín	Malý Čepčín	Turčianske Teplice	038 45	Malý Čepčín	Malý Čepčín	509	ZI	
Malý Horeš	Malý Horeš	Trebišov	076 52	Veľký Horeš	Veľký Horeš	811	KI	
Malý Jatov	Malý Jatov	Nové Zámky	941 10	Tvrdošovce	Tvrdošovce	404	NI	
Malý Kamenec	Malý Kamenec	Trebišov	076 36	Veľký Kamenec	Veľký Kamenec	811	KI	
Malý Kiar	Malý Kiar	Levice	934 01	Levice 1	Levice 1	402	NI	
Malý Kolačín	Malý Kolačín	Ilava	018 51	Nová Dubnica	Nová Dubnica	302	TC	
Malý Krtíš	Malý Krtíš	Veľký Krtíš	990 01	Veľký Krtíš	Veľký Krtíš	610	BC	
Malý Lapáš	Malý Lapáš	Nitra	951 04	Veľký Lapáš	Veľký Lapáš	403	NI	
Malý Lég	Malý Lég	Dunajská Streda	930 37	Lehnice	Lehnice	201	TA	
Malý Lipník	Malý Lipník	Stará Ľubovňa	065 46	Malý Lipník	Malý Lipník	710	PV	
Malý Madaras	Malý Madaras	Senec	900 44	Tomášov	Tomášov	108	BL	
Malý Ostrov	Malý Ostrov	Komárno	946 03	Kolárovo	Kolárovo	401	NI	
Malý Pesek	Malý Pesek	Levice	937 01	Želiezovce	Želiezovce	402	NI	
Malý Ruskov	Malý Ruskov	Trebišov	075 01	Trebišov 1	Trebišov 1	811	KI	
Malý Slavkov	Malý Slavkov	Kežmarok	060 01	Kežmarok 1	Kežmarok 1	703	PV	
Malý Slivník	Malý Slivník	Prešov	082 67	Terňa	Terňa	707	PV	
Malý Šariš	Malý Šariš	Prešov	080 01	Prešov 1	Prešov 1	707	PV	
Malženice	Malženice	Trnava	919 29	Malženice	Malženice	207	TA	
Maňa	Maňa	Nové Zámky	941 45	Maňa	Maňa	404	NI	
Mangútovo	Mangútovo	Detva	962 05	Hriňová	Hriňová	604	BC	
Mankovce	Mankovce	Zlaté Moravce	951 91	Hosťovce	Hosťovce	407	NI	
Marcelová	Marcelová	Komárno	946 32	Marcelová	Marcelová	401	NI	
Marček	Marček	Žilina	013 32	Dlhé Pole	Dlhé Pole	511	ZI	
Margecany	Margecany	Gelnica	055 01	Margecany	Margecany	801	KI	
Marhaň	Marhaň	Bardejov	086 45	Marhaň	Marhaň	701	PV	
Marianka	Marianka	Malacky	900 33	Marianka	Marianka	106	BL	
Markovce	Markovce	Michalovce	072 06	Malčice	Malčice	807	KI	
Markuška	Markuška	Rožňava	049 34	Markuška	Markuška	808	KI	
Markušovce	Markušovce	Spišská Nová Ves	053 21	Markušovce	Markušovce	810	KI	
Maršová	Maršová	Bytča	013 51	Predmier	Predmier	501	ZI	
Martin	Martin	Martin	036 01	Martin 1	Martin 1	506	ZI	
Martin nad Žitavou	Martin nad Žitavou	Zlaté Moravce	953 01	Zlaté Moravce 1	Zlaté Moravce 1	407	NI	
Martinček	Martinček	Ružomberok	034 95	Likavka	Likavka	508	ZI	
Martinová	Martinová	Rimavská Sobota	980 41	Dubovec	Dubovec	609	BC	
Martinová	Martinová	Nitra	951 88	Lúčnica nad Žitavou	Lúčnica nad Žitavou	403	NI	
Martovce	Martovce	Komárno	947 01	Hurbanovo 1	Hurbanovo 1	401	NI	
Marušová	Marušová	Levice	935 33	Nový Tekov	Nový Tekov	402	NI	
Maslovce	Maslovce	Dunajská Streda	930 39	Zlaté Klasy	Zlaté Klasy	201	TA	
Masníkovo	Masníkovo	Dunajská Streda	930 36	Horná Potôň	Horná Potôň	201	TA	
Maša	Maša	Poltár	985 22	Cinobaňa	Cinobaňa	607	BC	
Mašková	Mašková	Lučenec	985 11	Halič	Halič	606	BC	
Maškovce	Maškovce	Humenné	067 32	Vyšný Hrušov	Vyšný Hrušov	702	PV	
Maštinec	Maštinec	Poltár	987 01	Poltár	Poltár	607	BC	
Matejovce	Matejovce	Poprad	059 51	Matejovce	Matejovce	706	PV	
Matejovce nad Hornádom	Matejovce nad Hornádom	Spišská Nová Ves	053 21	Markušovce	Markušovce	810	KI	
Matejovec	Matejovec	Myjava	916 16	Krajné	Krajné	303	TC	
Matiaška	Matiaška	Vranov nad Topľou	094 31	Hanušovce nad Topľou	Hanušovce nad Topľou	713	PV	
Matiašovce	Matiašovce	Kežmarok	059 04	Spišské Hanušovce	Spišské Hanušovce	703	PV	
Matovce	Matovce	Svidník	090 42	Okruhlé	Okruhlé	712	PV	
Maťovské Vojkovce	Maťovské Vojkovce	Michalovce	079 01	Veľké Kapušany	Veľké Kapušany	807	KI	
Matušíková	Matušíková	Prievidza	972 28	Valaská Belá	Valaská Belá	307	TC	
Matúškovo	Matúškovo	Galanta	925 01	Matúškovo	Matúškovo	202	TA	
Matysová	Matysová	Stará Ľubovňa	065 46	Malý Lipník	Malý Lipník	710	PV	
Mazorníkovo	Mazorníkovo	Brezno	977 03	Brezno 3	Brezno 3	603	BC	
Mečedelovce	Mečedelovce	Levoča	053 14	Spišský Štvrtok	Spišský Štvrtok	704	PV	
Medné	Medné	Púchov	020 61	Lednické Rovne	Lednické Rovne	308	TC	
Meďov	Meďov	Michalovce	071 01	Michalovce 1	Michalovce 1	807	KI	
Medovarce	Medovarce	Krupina	962 65	Hontianske Nemce	Hontianske Nemce	605	BC	
Medvecké	Medvecké	Levice	935 41	Tekovské Lužany	Tekovské Lužany	402	NI	
Medvedie	Medvedie	Svidník	090 05	Krajná Poľana	Krajná Poľana	712	PV	
Medveďov	Medveďov	Dunajská Streda	930 07	Medveďov	Medveďov	201	TA	
Medveďovo	Medveďovo	Brezno	976 52	Čierny Balog	Čierny Balog	603	BC	
Medvedzie	Medvedzie	Tvrdošín	027 44	Tvrdošín 1	Tvrdošín 1	510	ZI	
Medzany	Medzany	Prešov	082 21	Veľký Šariš	Veľký Šariš	707	PV	
Medzev	Medzev	Košice-okolie	044 25	Medzev	Medzev	806	KI	
Medzianky	Medzianky	Vranov nad Topľou	094 31	Hanušovce nad Topľou	Hanušovce nad Topľou	713	PV	
Medzibrod	Medzibrod	Banská Bystrica	976 96	Medzibrod	Medzibrod	601	BC	
Medzibrodie	Medzibrodie	Stará Ľubovňa	065 22	Mníšek nad Popradom	Mníšek nad Popradom	710	PV	
Medzibrodie nad Oravou	Medzibrodie n/Oravou	Dolný Kubín	026 01	Dolný Kubín 1	Dolný Kubín 1	503	ZI	
Medzihradné	Medzihradné	Dolný Kubín	026 01	Dolný Kubín 1	Dolný Kubín 1	503	ZI	
Medzilaborce	Medzilaborce	Medzilaborce	068 01	Medzilaborce	Medzilaborce	705	PV	
Mechenice	Mechenice	Nitra	951 46	Podhorany pri Nitre	Podhorany pri Nitre	403	NI	
Melčice	Melčice	Trenčín	913 05	Melčice-Lieskové	Melčice-Lieskové	309	TC	
Melek	Melek	Nitra	952 01	Vráble	Vráble	403	NI	
Meliata	Meliata	Rožňava	049 12	Gemerská Hôrka	Gemerská Hôrka	808	KI	
Mengusovce	Mengusovce	Poprad	059 36	Mengusovce	Mengusovce	706	PV	
Merašice	Merašice	Hlohovec	920 61	Dolné Trhovište	Dolné Trhovište	203	TA	
Merník	Merník	Vranov nad Topľou	094 23	Merník	Merník	713	PV	
Merovce	Merovce	Krupina	962 71	Dudince	Dudince	605	BC	
Mestečko	Mestečko	Púchov	020 52	Mestečko	Mestečko	308	TC	
Mestisko	Mestisko	Svidník	090 41	Mestisko	Mestisko	712	PV	
