DOBEC	OBEC	OKRES	PSC	DPOSTA	POSTA	KOD_OKR	KRAJ	
Kapušianske Vojkovce	Kapušianske Vojkovce	Michalovce	079 01	Veľké Kapušany	Veľké Kapušany	807	KI	
Kardošova Vieska	Kardošova Vieska	Považská Bystrica	018 16	Domaniža	Domaniža	306	TC	
Karlov Dvor	Karlov Dvor	Trebišov	076 33	Slovenské Nové Mesto	Slovenské Nové Mesto	811	KI	
Karlová	Karlová	Martin	038 15	Blatnica pri Martine	Blatnica pri Martine	506	ZI	
Karná	Karná	Humenné	067 45	Topoľovka	Topoľovka	702	PV	
Karolína	Karolína	Levice	937 01	Želiezovce	Želiezovce	402	NI	
Kašov	Kašov	Trebišov	076 02	Novosad	Novosad	811	KI	
Kašova Lehôtka	Kašova Lehôtka	Zvolen	962 34	Tŕnie	Tŕnie	611	BC	
Katarínska Huta	Katarínska Huta	Poltár	985 22	Cinobaňa	Cinobaňa	607	BC	
Kátlina	Kátlina	Považská Bystrica	018 02	Dolná Mariková	Dolná Mariková	306	TC	
Kátlovce	Kátlovce	Trnava	919 55	Kátlovce	Kátlovce	207	TA	
Kátov	Kátov	Skalica	908 49	Vrádište	Vrádište	206	TA	
Katúň	Katúň	Levoča	053 04	Spišské Podhradie	Spišské Podhradie	704	PV	
Kava	Kava	Komárno	945 01	Komárno 1	Komárno 1	401	NI	
Kazimír	Kazimír	Trebišov	076 13	Kazimír	Kazimír	811	KI	
Keblov - Zárieč	Keblov - Zárieč	Žilina	013 32	Dlhé Pole	Dlhé Pole	511	ZI	
Kecerovce	Kecerovce	Košice-okolie	044 47	Kecerovce	Kecerovce	806	KI	
Kecerovské Kostoľany	Kecerovské Kostoľany	Košice-okolie	044 47	Kecerovce	Kecerovce	806	KI	
Kecerovské Pekľany	Kecerovské Pekľany	Košice-okolie	044 47	Kecerovce	Kecerovce	806	KI	
